listing_id,type,name,rooms,amenities,price,rating_reviews,superhost,latitude,longitude,property_type,neighborhood,guest_qty,studio_vs_apt,bedroom_qty,bed_qty,bathroom_qty,average_review,review_qty
3585452,Entire rental unit in Manhattan,A Beautiful Brownstone Apartment,4 guests · Studio · 3 beds · 1 bath,Wifi · Air conditioning · Kitchen · Heating,$91 ,4.76 (339 reviews)$91 / night$91 per night,True,40.80872,-73.94124,Entire rental unit,Manhattan,4,Studio,1,3,1,4.76 ,339
45767160,Entire rental unit in Chinatown,Cozy apartment in the heart of Downtown Manhattan,3 guests · 2 bedrooms · 2 beds · 1 bath,Wifi · Kitchen · Heating,$75 ,$75 / night$75 per night,True,40.71394,-73.99123,Entire rental unit,Chinatown,3,Apartment,2,2,1,,0
46756139,Hotel room in South Street Seaport,Perfect Extended Stay 21+ Days Hotel Room,2 guests · 1 bedroom · 1 bed · 1 private bath,Wifi · Air conditioning · Heating,$84 ,$84 / night$84 per night,True,40.70616,-74.00379,Hotel room,South Street Seaport,2,Apartment,1,1,1,,0
49705162,Entire rental unit in Soho,Modern and charming 1BR in the heart of SoHo,4 guests · 1 bedroom · 2 beds · 1 bath,Wifi · Air conditioning · Kitchen · Heating,$140 ,$140 / night$140 per night,False,40.72371,-74.0019,Entire rental unit,Soho,4,Apartment,1,2,1,,0
47996191,Entire rental unit in Manhattan,Furnished Studio in Little Italy,2 guests · Studio · 1 bed · 1 bath,Wifi · Air conditioning · Kitchen · Heating,$110 ,$110 / night$110 per night,False,40.72025,-73.9938,Entire rental unit,Manhattan,2,Studio,1,1,1,,0
12317903,Entire rental unit in Midtown,Newly Renovated Studio Midtown East,4 guests · Studio · 2 beds · 1 bath,Wifi · Air conditioning · Kitchen · Heating,$81 ,4.90 (161 reviews)$81 / night$81 per night,True,40.75307,-73.96691,Entire rental unit,Midtown,4,Studio,1,2,1,4.90 ,161
45547297,Entire rental unit in Hell's Kitchen,Studio in a Brand New Building,2 guests · Studio · 1 bed · 1 bath,Wifi · Air conditioning · Kitchen · Heating,$100 ,$100 / night$100 per night,False,40.76526,-73.98867,Entire rental unit,Hell's Kitchen,2,Studio,1,1,1,,0
48131207,Entire rental unit in Kips Bay,"Private, Roomy, Quiet Studio in heart of Kips Bay",2 guests · Studio · 1 bed · 1 bath,Wifi · Air conditioning · Kitchen · Heating,$55 ,$55 / night$55 per night,False,40.74328,-73.98076,Entire rental unit,Kips Bay,2,Studio,1,1,1,,0
25802121,Entire rental unit in Midtown,Large studio near Central Park/Columbus Circle,3 guests · Studio · 1 bed · 1 bath,Wifi · Air conditioning · Heating,$90 ,5.0 (6 reviews)$90 / night$90 per night,True,40.76612,-73.98273,Entire rental unit,Midtown,3,Studio,1,1,1,5.0,6
48253767,Entire rental unit in Queens,Charming Astoria studio on quiet tree-lined street,2 guests · Studio · 1 bed · 1 bath,Wifi · Air conditioning · Kitchen · Heating,$50 ,$50 / night$50 per night,True,40.77467,-73.91581,Entire rental unit,Queens,2,Studio,1,1,1,,0
42746488,Entire rental unit in Manhattan,Best Quiet Apartment / Union Square,3 guests · Studio · 2 beds · 1 bath,Wifi · Air conditioning · Kitchen · Heating,$88 ,4.74 (65 reviews)$88 / night$88 per night,False,40.73437,-73.98728,Entire rental unit,Manhattan,3,Studio,1,2,1,4.74 ,65
49362741,Entire rental unit in Upper West Side,Central Park Apartments Furnished Rental 20,2 guests · Studio · 1 bed · 1 bath,Wifi · Air conditioning · Heating,$57 ,$57 / night$57 per night,False,40.7976,-73.96189,Entire rental unit,Upper West Side,2,Studio,1,1,1,,0
45772997,Entire rental unit in Hell's Kitchen,Spacious 2 Bedroom Steps from Times Sq.,5 guests · 2 bedrooms · 2 beds · 1 bath,Wifi · Air conditioning · Kitchen · Heating,$123 ,4.55 (98 reviews)$123 / night$123 per night,False,40.76238,-73.98917,Entire rental unit,Hell's Kitchen,5,Apartment,2,2,1,4.55 ,98
44337778,Entire rental unit in East Village,Near Tomkins Park,2 guests · Studio · 1 bed · 1 bath,Heating,$65 ,$65 / night$65 per night,False,40.72861,-73.98348,Entire rental unit,East Village,2,Studio,1,1,1,,0
50913661,Entire rental unit in Kips Bay,240Nest #4 Midtown Manhattan/ new listing !,3 guests · 1 bedroom · 2 beds · 1 bath,Wifi · Air conditioning · Kitchen · Heating,$99 ,$99 / night$99 per night,False,40.74057,-73.97755,Entire rental unit,Kips Bay,3,Apartment,1,2,1,,0
50197742,Private room in Hell's Kitchen,CONTACT HOST/near Tsquare,1 guest · 1 bedroom · 1 bed · 1 shared bath,Wifi · Air conditioning · Kitchen · Heating,$43 ,$43 / night$43 per night,False,40.766,-73.99453,Private room,Hell's Kitchen,1,Apartment,1,1,1,,0
49409612,Entire rental unit in Upper East Side,Luxe amenities on gallery rich block,3 guests · 1 bedroom · 2 beds · 1 bath,Wifi · Air conditioning · Kitchen · Heating,$60 ,$60 / night$60 per night,False,40.77796,-73.96073,Entire rental unit,Upper East Side,3,Apartment,1,2,1,,0
49100116,Entire rental unit in Times Square/Theatre District,Fantastic studio in Time Square,1 guest · 1 bedroom · 1 bed · 1 bath,Air conditioning · Kitchen · Heating,$70 ,$70 / night$70 per night,False,40.75717,-73.98347,Entire rental unit,Times Square/Theatre District,1,Apartment,1,1,1,,0
45988921,Private room in Hell's Kitchen,"(G3st)PRIVATE ROOM,CONTACT HOST BEFORE BOOKING!",2 guests · 1 bedroom · 1 bed · 1 shared bath,Wifi · Air conditioning · Kitchen · Heating,$39 ,5.0 (3 reviews)$39 / night$39 per night,False,40.76454,-73.9948,Private room,Hell's Kitchen,2,Apartment,1,1,1,5.0,3
49916027,Entire rental unit in Hell's Kitchen,CONTACT B4 you BOOK! Nice apt!2 blocks fromTSquare,2 guests · 1 bedroom · 1 bed · 1 bath,Wifi · Air conditioning · Kitchen · Heating,$77 ,$77 / night$77 per night,True,40.76425,-73.98764,Entire rental unit,Hell's Kitchen,2,Apartment,1,1,1,,0
36975376,Entire rental unit in Brooklyn Heights,Brooklyn Heights 1 Bed Floorthru 950ft Garden Apt,4 guests · 1 bedroom · 1 bed · 1 bath,Wifi · Air conditioning · Kitchen · Heating,$229 ,4.93 (100 reviews)$229 / night$229 per night,True,40.69166,-73.99848,Entire rental unit,Brooklyn Heights,4,Apartment,1,1,1,4.93 ,100
8506757,Entire rental unit in Brooklyn Heights,Brownstone in Brooklyn Heights,2 guests · 2 bedrooms · 2 beds · 1 bath,Wifi · Air conditioning · Kitchen · Heating,$140 ,4.85 (111 reviews)$140 / night$140 per night,True,40.69484,-73.99689,Entire rental unit,Brooklyn Heights,2,Apartment,2,2,1,4.85 ,111
11412980,Entire rental unit in Brooklyn,Private Garden Apartment,2 guests · 1 bedroom · 1 bed · 1 bath,Wifi · Air conditioning · Kitchen · Heating,$175 ,4.98 (293 reviews)$175 / night$175 per night,True,40.68719,-73.99512,Entire rental unit,Brooklyn,2,Apartment,1,1,1,4.98 ,293
47239416,Entire rental unit in Brooklyn,Lovely 1 Bedroom in Gowanus/Boerum Hill,4 guests · 1 bedroom · 1 bed · 1 bath,Wifi · Air conditioning · Kitchen · Heating,$81 ,$81 / night$81 per night,False,40.68314,-73.98769,Entire rental unit,Brooklyn,4,Apartment,1,1,1,,0
22697211,Entire rental unit in Columbia Street Waterfront,Sweet studio in Cobble Hill Brooklyn,2 guests · Studio · 1 bed · 1 bath,Wifi · Air conditioning · Kitchen · Heating,$100 ,4.91 (11 reviews)$100 / night$100 per night,False,40.69037,-73.9989,Entire rental unit,Columbia Street Waterfront,2,Studio,1,1,1,4.91 ,11
15444619,Entire rental unit in Downtown Brooklyn,Brklyn Hts Luxury - Garden Calm & Downtown Verve,4 guests · 1 bedroom · 2 beds · 1.5 baths,Wifi · Air conditioning · Kitchen · Heating,$270 ,4.79 (160 reviews)$270 / night$270 per night,False,40.68972,-73.99216,Entire rental unit,Downtown Brooklyn,4,Apartment,1,2,1,4.79 ,160
